close_time,event,cycle,side,dir,price,entry,stop,target,rr,result,exit,r
1789775099999,sweep,1789753500000,LOW,,80899.99,,,,,,,
1789776899999,dist_confirmed,1789753500000,,long,,80976.01,80720.41,81677.71,2.745305164319388,,,
1789780499999,outcome,1789753500000,,long,,80976.01,80720.41,81677.71,,target,81677.71,2.745305164319388
1789809299999,sweep,1789780500000,HIGH,,81435.11,,,,,,,
1789809299999,dist_confirmed,1789780500000,,short,,81435.11,81615.62,80602.67,4.611600465348327,,,
1789829099999,outcome,1789780500000,,short,,81435.11,81615.62,80602.67,,stop,81615.62,-1.0
1789872299999,sweep,1789844400000,LOW,,80562.86,,,,,,,
1789913699999,sweep,1789872300000,HIGH,,80592.01,,,,,,,
1789913699999,dist_confirmed,1789872300000,,short,,80592.01,80843.28,79794.39,3.174354280256228,,,
1789917299999,outcome,1789872300000,,short,,80592.01,80843.28,79794.39,,stop,80843.28,-1.0
1790062199999,sweep,1790039700000,LOW,,85322.71,,,,,,,
1790062199999,dist_confirmed,1790039700000,,long,,85322.71,85095.1,86211.88,3.906550678792654,,,
1790067599999,outcome,1790039700000,,long,,85322.71,85095.1,86211.88,,target,86211.88,3.906550678792654
1790086499999,sweep,1790066700000,HIGH,,86350.01,,,,,,,
1790086499999,dist_confirmed,1790066700000,,short,,86350.01,86573.54,85349.27,4.476982955307994,,,
1790091899999,outcome,1790066700000,,short,,86350.01,86573.54,85349.27,,stop,86573.54,-1.0
1790126099999,sweep,1790089200000,HIGH,,86721.43,,,,,,,
1790126999999,dist_confirmed,1790089200000,,short,,86632.68,86974.87,85577.3,3.0841929921972673,,,
1790135099999,outcome,1790089200000,,short,,86632.68,86974.87,85577.3,,stop,86974.87,-1.0
1790172899999,sweep,1790153100000,LOW,,84875.88,,,,,,,
1790201699999,sweep,1790180100000,HIGH,,84594.0,,,,,,,
1790202599999,dist_confirmed,1790180100000,,short,,84484.01,84824.69,83213.9,3.7281613244099225,,,
1790243099999,outcome,1790180100000,,short,,84484.01,84824.69,83213.9,,target,83213.9,3.7281613244099225
1790298899999,sweep,1790273700000,HIGH,,84700.03,,,,,,,
1790298899999,dist_confirmed,1790273700000,,short,,84700.03,84933.2,83524.39,5.041986533430579,,,
1790334899999,outcome,1790273700000,,short,,84700.03,84933.2,83524.39,,stop,84933.2,-1.0
1790369099999,sweep,1790345700000,HIGH,,84122.01,,,,,,,
1790369999999,dist_confirmed,1790345700000,,short,,83886.0,84335.54,82948.75,2.0849090181074286,,,
