date,symbol,event,side,qty,price,turnover,charges,cash_flow,capital_injected
2026-09-25,AVANTIFEED,ENTRY,BUY,39,753.15,29372.85,34.88,-29407.73,29407.73
2026-09-25,SUPREME,ENTRY,BUY,955,31.39,29977.45,35.6,-30013.05,30013.05
2026-09-25,ACL,ENTRY,BUY,703,42.63,29968.89,35.59,-30004.48,30004.48
2026-09-25,RTNPOWER,ENTRY,BUY,4285,7.0,29995.0,35.62,-30030.62,30030.62
2026-09-25,ASALCBR,ENTRY,BUY,46,644.95,29667.7,35.23,-29702.93,29702.93
2026-09-25,HDIL,ENTRY,BUY,20689,1.45,29999.05,35.62,-30034.67,30034.67
2026-09-25,RAJVIR,ENTRY,BUY,5758,5.21,29999.18,35.62,-30034.8,30034.8
2026-09-25,AGIIL,ENTRY,BUY,113,264.55,29894.15,35.49,-29929.64,29929.64
2026-09-25,FCONSUMER,ENTRY,BUY,136363,0.22,29999.86,35.62,-30035.48,30035.48
2026-09-25,DIL,ENTRY,BUY,46153,0.65,29999.45,35.62,-30035.07,30035.07
2026-09-25,NAGAFERT,ENTRY,BUY,16949,1.77,29999.73,35.62,-30035.35,30035.35
