date,symbol,name,chartink_close,change_pct,volume
2026-09-25,AVANTIFEED,Avanti Feeds Limited,753.15,0.45,277971.0
2026-09-25,SUPREME,Supreme Holdings & Hospitality Ltd,31.39,0.32,4143.0
2026-09-25,ACL,Andhra Cements Ltd,42.63,0.16,9779.0
2026-09-25,RTNPOWER,Rattanindia Power Limited,7.0,-0.28,14384293.0
2026-09-25,ASALCBR,Associated Alcohols & Breweries Ltd,644.95,-0.93,81437.0
2026-09-25,HDIL,Housing Development And Infrastructure Limited,1.45,-1.36,133080.0
2026-09-25,RAJVIR,Rajvir Industries Limited,5.21,-2.07,5.0
2026-09-25,AGIIL,AGI Infra Ltd,264.55,-2.54,3237412.0
2026-09-25,FCONSUMER,Future Consumer Limited,0.22,-4.35,17567940.0
2026-09-25,DIL,Debock Industries Ltd,0.65,-4.41,3418810.0
2026-09-25,NAGAFERT,Nagarjuna Fertilizers And Chemicals Limited,1.77,-4.84,1952910.0
